city,year,total_investment_amount_rmb_m,total_investment_count,early_investment_amount_rmb_m,early_investment_count,early_investment_amount_share,early_investment_count_share
锡林郭勒盟,2020,0.0,0,0.0,0,,
锡林郭勒盟,2021,0.0,0,0.0,0,,
锡林郭勒盟,2022,0.0,0,0.0,0,,
锡林郭勒盟,2023,0.0,0,0.0,0,,
锡林郭勒盟,2024,0.0,0,0.0,0,,
镇江市,2015,7.8,2,0.0,0,0.0,0.0
镇江市,2016,3.0,3,3.0,2,,0.666667
镇江市,2017,0.0,0,0.0,0,,
镇江市,2018,30.0,1,0.0,0,0.0,0.0
镇江市,2019,0.0,0,0.0,0,,
镇江市,2020,,3,0.0,0,,0.0
镇江市,2021,,2,,1,,0.5
镇江市,2022,70.0,7,,1,,0.142857
镇江市,2023,58.13,1,0.0,0,0.0,0.0
镇江市,2024,0.0,0,0.0,0,,
长春市,2015,68.2,4,0.0,0,,0.0
长春市,2016,26.35,3,0.0,0,,0.0
长春市,2017,50.0,5,,1,,0.2
长春市,2018,1001.46,11,,3,,0.272727
长春市,2019,304.8,8,,1,,0.125
长春市,2020,225.0,11,,1,,0.090909
长春市,2021,95.18,7,,2,,0.285714
长春市,2022,7.0,4,0.0,0,,0.0
长春市,2023,205.21,13,60.0,2,,0.153846
长春市,2024,189.42,11,22.0,4,,0.363636
长沙市,2015,555.34,11,60.0,2,,0.181818
长沙市,2016,82.6,5,0.0,0,,0.0
长沙市,2017,259.0,8,0.0,0,,0.0
长沙市,2018,99.61,4,21.61,1,,0.25
长沙市,2019,366.25,17,235.33,8,,0.470588
长沙市,2020,371.22,28,33.19,7,,0.25
长沙市,2021,695.55,56,15.0,14,,0.25
长沙市,2022,119.9,36,14.4,12,,0.333333
长沙市,2023,388.79,26,124.08,9,,0.346154
长沙市,2024,703.49,27,231.03,10,,0.37037
阜阳市,2015,0.0,0,0.0,0,,
阜阳市,2016,0.0,0,0.0,0,,
阜阳市,2017,0.0,0,0.0,0,,
阜阳市,2018,0.0,0,0.0,0,,
阜阳市,2019,0.0,0,0.0,0,,
阜阳市,2020,0.0,0,0.0,0,,
阜阳市,2021,0.0,0,0.0,0,,
阜阳市,2022,12.31,2,0.0,0,,0.0
阜阳市,2023,45.0,4,0.0,0,,0.0
阜阳市,2024,39.99,4,20.0,2,,0.5
阿坝藏族羌族自治州,2015,0.0,0,0.0,0,,
阿坝藏族羌族自治州,2016,0.0,0,0.0,0,,
阿坝藏族羌族自治州,2017,0.0,0,0.0,0,,
阿坝藏族羌族自治州,2018,0.0,0,0.0,0,,
阿坝藏族羌族自治州,2019,,1,0.0,0,,0.0
阿坝藏族羌族自治州,2020,40.0,2,0.0,0,,0.0
阿坝藏族羌族自治州,2021,0.0,0,0.0,0,,
阿坝藏族羌族自治州,2022,0.0,0,0.0,0,,
阿坝藏族羌族自治州,2023,0.0,0,0.0,0,,
阿坝藏族羌族自治州,2024,0.0,0,0.0,0,,
阿拉善盟,2015,0.0,0,0.0,0,,
阿拉善盟,2016,1.0,1,1.0,1,1.0,1.0
阿拉善盟,2017,0.0,0,0.0,0,,
阿拉善盟,2018,0.0,0,0.0,0,,
阿拉善盟,2019,0.0,0,0.0,0,,
阿拉善盟,2020,125.0,1,0.0,0,0.0,0.0
阿拉善盟,2021,0.0,0,0.0,0,,
阿拉善盟,2022,0.0,0,0.0,0,,
阿拉善盟,2023,0.0,0,0.0,0,,
阿拉善盟,2024,0.0,0,0.0,0,,
阿拉尔市,2015,0.0,0,0.0,0,,
阿拉尔市,2016,0.0,0,0.0,0,,
阿拉尔市,2017,0.0,0,0.0,0,,
阿拉尔市,2018,0.0,0,0.0,0,,
阿拉尔市,2019,0.0,0,0.0,0,,
阿拉尔市,2020,0.0,0,0.0,0,,
阿拉尔市,2021,0.0,0,0.0,0,,
阿拉尔市,2022,0.0,0,0.0,0,,
阿拉尔市,2023,0.0,0,0.0,0,,
阿拉尔市,2024,200.0,1,200.0,1,1.0,1.0
雅安市,2015,0.0,0,0.0,0,,
雅安市,2016,0.0,0,0.0,0,,
雅安市,2017,0.0,0,0.0,0,,
雅安市,2018,0.0,0,0.0,0,,
雅安市,2019,,1,0.0,0,,0.0
雅安市,2020,0.0,0,0.0,0,,
雅安市,2021,0.0,0,0.0,0,,
雅安市,2022,0.0,0,0.0,0,,
雅安市,2023,0.0,0,0.0,0,,
雅安市,2024,0.0,0,0.0,0,,
青岛市,2015,288.2,18,,1,,0.055556
青岛市,2016,241.39,20,46.5,7,,0.35
青岛市,2017,54.0,15,7.5,4,,0.266667
青岛市,2018,308.19,12,,2,,0.166667
